provider_code,label,address_line1,address_line2,postcode,latitude,longitude,suggestion_frequency,last_seen_on,suggestion_rank
ACSP,ACSP · Boswell Road · RH10 5BA,Boswell Road,,RH10 5BA,51.102282,-0.185020,1,2025-12-18,15
ACSP,"ACSP · Storage Yard, The rear of 337 Dunstable Road · LU4 8BX",Storage Yard,The rear of 337 Dunstable Road,LU4 8BX,51.889219,-0.440350,1,2025-12-10,16
ACSP,"ACSP · Elite Cat London Ltd, Troy Industrial Estate · HA1 2ED",Elite Cat London Ltd,Troy Industrial Estate,HA1 2ED,51.585229,-0.329664,1,2025-11-13,17
ACSP,"ACSP · Primo Bodywork Repairs, Unit 2A · BN9 9DG",Primo Bodywork Repairs,Unit 2A,BN9 9DG,50.786032,0.046968,1,2025-11-05,18
ACSP,ACSP · Ashdown Drive · RH10 5HB,Ashdown Drive,,RH10 5HB,51.099587,-0.188125,1,2025-09-26,19
ACSP,ACSP · Sillwood Road · BN1 2LE,Sillwood Road,,BN1 2LE,50.823761,-0.151897,1,2025-09-22,20
ACSP,ACSP · Marine Parade,Marine Parade,,,,,1,2025-09-16,21
ACSP,ACSP · Quarry Road · BN9 9DG,Quarry Road,,BN9 9DG,50.786032,0.046968,1,2025-08-27,22
ACSP,ACSP · 22 Upton Avenue · BN24 4WP,22 Upton Avenue,,BN24 4WP,,,1,2025-08-12,23
ACSP,"ACSP · TEK Express Limited, Pelham Court · RH11 9SH",TEK Express Limited,Pelham Court,RH11 9SH,51.097999,-0.205869,1,2025-08-11,24
ACSP,ACSP · Langley Drive · RH11 7TG,Langley Drive,,RH11 7TG,51.126881,-0.195174,1,2025-06-11,25
ACSP,ACSP · Richmond Crescent · SL1 1XA,Richmond Crescent,,SL1 1XA,51.510374,-0.585184,1,2025-05-20,26
ACSP,ACSP · 34-36 Theaklen Drive · TN38 9AZ,34-36 Theaklen Drive,,TN38 9AZ,50.868572,0.552799,1,2025-05-06,27
ACSP,ACSP · 102 Illett Way · RH12 0BL,102 Illett Way,,RH12 0BL,51.100631,-0.232890,1,2025-05-02,28
ACSP,ACSP · 160 Roderick Avenue · BN10 8BX,160 Roderick Avenue,,BN10 8BX,50.802920,0.003567,1,2025-04-08,29
ACSP,ACSP · Pratt Street · NW1 0BL,Pratt Street,,NW1 0BL,51.537671,-0.139132,1,2025-03-20,30
ACSP,"ACSP · M - Tech, Theaklen Drive · TN38 9AZ",M - Tech,Theaklen Drive,TN38 9AZ,50.868572,0.552799,1,2025-01-31,31
ACSP,ACSP · Chiltern Avenue · HP12 3UF,Chiltern Avenue,,HP12 3UF,51.623601,-0.779720,1,2025-01-09,32
ACSP,"ACSP · Blueline Taxis, Burcott Road · HR4 9LW",Blueline Taxis,Burcott Road,HR4 9LW,52.066318,-2.716112,1,2024-11-05,33
ACSP,ACSP · Drury Lane · TN38 9BA,Drury Lane,,TN38 9BA,50.867966,0.549241,1,2024-11-01,34
ACSP,ACSP · 120 Tamar Way · SL3 8TA,120 Tamar Way,,SL3 8TA,51.498171,-0.536723,1,2024-10-21,35
ACSP,ACSP · Troy Industrial Estate · HA1 2ED,Troy Industrial Estate,,HA1 2ED,51.585229,-0.329664,1,2024-10-18,36
ACSP,ACSP · Prestley Way · RH10 9NT,Prestley Way,,RH10 9NT,51.137643,-0.168953,1,2024-10-08,37
ACSP,ACSP · Wandsworth Bridge Road · SW6 2PD,Wandsworth Bridge Road,,SW6 2PD,51.468187,-0.189863,1,2024-07-30,38
ACSP,"ACSP · Impulse Motors, Hayes End Road · UB4 8EH",Impulse Motors,Hayes End Road,UB4 8EH,51.526369,-0.431521,1,2024-06-25,39
ACSP,"ACSP · Nightingale House, 1 -3 Brighton Road · RH10 6AE",Nightingale House,1 -3 Brighton Road,RH10 6AE,51.111162,-0.191087,1,2024-06-14,40
ALISON,"ALISON · Carnation Salvage, Essex Street · BD4 7PG",Carnation Salvage,Essex Street,BD4 7PG,53.788722,-1.739671,3,2024-12-20,1
ALISON,ALISON · Essex Street · BD4 7PG,Essex Street,,BD4 7PG,53.788722,-1.739671,2,2025-03-19,2
ALISON,"ALISON · Carnation Salvage, 6 Essex Street · BD4 7PG",Carnation Salvage,6 Essex Street,BD4 7PG,53.788722,-1.739671,2,2024-12-16,3
ALISON,ALISON · Mosedale Drive · LS14 1FT,Mosedale Drive,,LS14 1FT,53.838902,-1.449227,1,2025-06-03,4
ALISON,ALISON · Aireville Avenue · BD18 3AF,Aireville Avenue,,BD18 3AF,53.820992,-1.777386,1,2025-05-07,5
ALISON,ALISON · Spencer Road · BD7 2LE,Spencer Road,,BD7 2LE,53.784747,-1.789385,1,2025-05-07,6
ALISON,ALISON · Moorcroft Drive · WF13 4DX,Moorcroft Drive,,WF13 4DX,53.696234,-1.654126,1,2025-04-23,7
ALISON,ALISON · 29 Avenham Way · BD3 0BW,29 Avenham Way,,BD3 0BW,53.799131,-1.740503,1,2025-04-14,8
ALISON,ALISON · 28 Ash Street · HD1 6HN,28 Ash Street,,HD1 6HN,53.657713,-1.786128,1,2025-04-07,9
ALISON,ALISON · Langhedge Lane · N18 2TJ,Langhedge Lane,,N18 2TJ,51.610309,-0.068860,1,2025-02-27,10
ALISON,"ALISON · Brightbourne Ltd, 6 Essex Street · BD4 7PG",Brightbourne Ltd,6 Essex Street,BD4 7PG,53.788722,-1.739671,1,2025-02-17,11
ALISON,ALISON · 106 Long Lane · BD16 1BY,106 Long Lane,,BD16 1BY,53.839578,-1.876856,1,2025-02-07,12
ALISON,ALISON · 28 Lennon Drive · BD8 9HA,28 Lennon Drive,,BD8 9HA,53.801840,-1.778247,1,2025-01-29,13
ALISON,ALISON · Virginia Street · BD14 6JL,Virginia Street,,BD14 6JL,53.779356,-1.817516,1,2025-01-20,14
ALISON,ALISON · Legrams Avenue · BD7 2PP,Legrams Avenue,,BD7 2PP,53.785449,-1.795240,1,2025-01-17,15
ALISON,ALISON · 28 Lennon Drive · BD8 8HA,28 Lennon Drive,,BD8 8HA,,,1,2025-01-16,16
ALISON,ALISON · Kirkgate · WF1 1TS,Kirkgate,,WF1 1TS,53.680814,-1.493119,1,2025-01-14,17
ALISON,"ALISON · Holybrook Gardens, Redcar Road · BD10 0DR",Holybrook Gardens,Redcar Road,BD10 0DR,53.827632,-1.708910,1,2024-12-06,18
ALISON,ALISON · Fairfield Road · N18 2QJ,Fairfield Road,,N18 2QJ,51.615070,-0.061436,1,2024-11-26,19
ALISON,ALISON · James Place · N17 8NR,James Place,,N17 8NR,51.601699,-0.069673,1,2024-11-26,20
ALISON,ALISON · Whetley Hill · BD8 8ND,Whetley Hill,,BD8 8ND,53.803029,-1.774520,1,2024-11-26,21
ALISON,ALISON · Ketton Road · LE15 8TH,Ketton Road,,LE15 8TH,52.658191,-0.665549,1,2024-11-20,22
ALISON,ALISON · Winsford Terrace · N18 1BS,Winsford Terrace,,N18 1BS,51.614151,-0.086492,1,2024-11-20,23
ALISON,ALISON · Woodside Drive · BD16 1RF,Woodside Drive,,BD16 1RF,53.830082,-1.835390,1,2024-11-14,24
ALISON,ALISON · Derwent Mews · YO10 3DN,Derwent Mews,,YO10 3DN,53.960620,-1.039347,1,2024-11-12,25
ALISON,ALISON · 22 Garibaldi Street · BD3 8NF,22 Garibaldi Street,,BD3 8NF,53.796756,-1.711856,1,2024-11-04,26
ALISON,ALISON · Spring Bank Place · BD8 7BX,Spring Bank Place,,BD8 7BX,53.806478,-1.763933,1,2024-10-31,27
ALISON,ALISON · 4 Newman Street · BB10 1RW,4 Newman Street,,BB10 1RW,53.804014,-2.235756,1,2024-10-29,28
ALISON,ALISON · Long Lane · BD16 1BY,Long Lane,,BD16 1BY,53.839578,-1.876856,1,2024-10-24,29
ALISON,ALISON · 35 Windlass House · E16 2PW,35 Windlass House,,E16 2PW,51.499738,0.028487,1,2024-10-21,30
ALISON,ALISON · Cranbourne Road · BD9 6BH,Cranbourne Road,,BD9 6BH,53.806292,-1.805692,1,2024-10-11,31
ALISON,ALISON · 3 Seldon Street · BD5 9HH,3 Seldon Street,,BD5 9HH,53.777687,-1.776644,1,2024-10-09,32
ALL,ALL · 3 Elderfield · M28 1PU,3 Elderfield,,M28 1PU,53.506802,-2.437451,2,2025-11-28,1
ALL,ALL · St Georges Crescent · M6 8JL,St Georges Crescent,,M6 8JL,53.489094,-2.328228,2,2025-10-03,2
ALL,ALL · 58 Carnforth Road · SK4 5LE,58 Carnforth Road,,SK4 5LE,53.433486,-2.172104,2,2025-05-29,3
ALL,ALL · Duke Street,Duke Street,,,,,1,2026-01-21,4
ALL,ALL · 12 Thompson Avenue · L39 2BQ,12 Thompson Avenue,,L39 2BQ,53.567296,-2.869539,1,2026-01-12,5
ALL,ALL · Rothwell Street · BL3 6HY,Rothwell Street,,BL3 6HY,53.570892,-2.436587,1,2025-11-13,6
ALL,ALL · 62 Cotton Lane · M24 4TE,62 Cotton Lane,,M24 4TE,53.542687,-2.225333,1,2025-11-05,7
ALL,ALL · Chalvey Road East · SL1 2LX,Chalvey Road East,,SL1 2LX,51.506229,-0.603152,1,2025-09-09,8
ALL,ALL · Crete Street · OL8 1PQ,Crete Street,,OL8 1PQ,53.529890,-2.108019,1,2025-08-22,9
ALL,ALL · Bronte Avenue · BL9 9RN,Bronte Avenue,,BL9 9RN,53.576713,-2.289699,1,2025-07-23,10
ALL,ALL · 2063 Coventry Road · B26 3DY,2063 Coventry Road,,B26 3DY,52.453794,-1.791419,1,2025-07-18,11
ALL,ALL · 82 Stockfield Mount · OL9 9AS,82 Stockfield Mount,,OL9 9AS,53.539735,-2.140003,1,2025-07-17,12
ALL,ALL · 24 Alvingham Avenue · OL8 1RA,24 Alvingham Avenue,,OL8 1RA,53.528553,-2.114789,1,2025-05-13,13
ALL,ALL · Robertson House · M12 5UL,Robertson House,,M12 5UL,53.468922,-2.193187,1,2025-04-29,14
ALL,ALL · Waterloo Street · OL4 1ES,Waterloo Street,,OL4 1ES,53.536458,-2.100688,1,2025-04-24,15
ALL,ALL · Moseley Road · B12 9BS,Moseley Road,,B12 9BS,52.455551,-1.886682,1,2025-04-11,16
ALL,ALL · 30 Beverston · OL11 4JT,30 Beverston,,OL11 4JT,53.609509,-2.162936,1,2025-03-31,17
ALL,ALL · Windsor Road · OL8 4AL,Windsor Road,,OL8 4AL,53.534986,-2.126936,1,2025-03-26,18
ALL,ALL · 21 Oldham Road · M25 0BR,21 Oldham Road,,M25 0BR,53.524983,-2.259223,1,2025-03-14,19
ALL,ALL · 2 Epsley Close · M15 6DZ,2 Epsley Close,,M15 6DZ,53.465814,-2.241390,1,2025-03-11,20
ALL,ALL · Lincoln Road · LU4 8ND,Lincoln Road,,LU4 8ND,51.889256,-0.437777,1,2025-03-11,21
ALL,ALL · Gordon Road · N3 1EN,Gordon Road,,N3 1EN,51.607027,-0.198296,1,2025-02-13,22
ALL,ALL · Lower Moss Lane · M15 4HS,Lower Moss Lane,,M15 4HS,53.469859,-2.258677,1,2025-01-17,23
ALL,"ALL · Flat 17, 530 Burnage Lane · M19 1LD",Flat 17,530 Burnage Lane,M19 1LD,53.424329,-2.204722,1,2024-11-06,24
ALL,ALL · Elizabeth Avenue · SK1 3QA,Elizabeth Avenue,,SK1 3QA,53.402814,-2.154909,1,2024-09-27,25
ALL,ALL · 24 Ukraine Road · M7 3TE,24 Ukraine Road,,M7 3TE,53.502852,-2.279999,1,2024-09-05,26
ALL,ALL · 8 Pershore Road · M24 6EN,8 Pershore Road,,M24 6EN,53.560862,-2.194708,1,2024-08-21,27
ALL,ALL · 18 Alms Hill Road · M8 0PY,18 Alms Hill Road,,M8 0PY,53.505474,-2.235478,1,2024-08-16,28
ALL,ALL · Cleggs Lane · M38 9RQ,Cleggs Lane,,M38 9RQ,53.536056,-2.415678,1,2024-07-17,29
ALL,ALL · Cotton Lane · M24 4TE,Cotton Lane,,M24 4TE,53.542687,-2.225333,1,2024-07-17,30
ALL,ALL · 24 Greyswood Avenue · M8 9BB,24 Greyswood Avenue,,M8 9BB,53.505285,-2.244402,1,2024-07-16,31
ALL,ALL · 33 Ellisland Walk · M40 5LS,33 Ellisland Walk,,M40 5LS,53.504901,-2.194240,1,2024-07-09,32
ALS,"ALS · Rev It Up Repairs, 12 Baird Avenue · ML9 2PJ",Rev It Up Repairs,12 Baird Avenue,ML9 2PJ,55.723720,-3.960226,1,2025-12-05,1
ALS,ALS · 52 Wilson Place · G74 4QD,52 Wilson Place,,G74 4QD,55.776219,-4.164855,1,2025-12-01,2
ALS,"ALS · Level Up Autobody, Unit 4 Block 1 · EH48 2RX",Level Up Autobody,Unit 4 Block 1,EH48 2RX,55.891657,-3.656183,1,2025-10-16,3
ALS,"ALS · Leven Coachworks, Unit 1 Block 6 · KY8 5HD",Leven Coachworks,Unit 1 Block 6,KY8 5HD,56.201986,-3.016924,1,2025-08-05,4
ALS,ALS · 1 Dunnswood Road · G67 3EN,1 Dunnswood Road,,G67 3EN,55.969741,-3.956825,1,2025-04-15,5
ALS,"ALS · Scott Gibson Bodyshop Ltd, Unit 12, Smeaton Industrial Estate · KY1 2HE",Scott Gibson Bodyshop Ltd,"Unit 12, Smeaton Industrial Estate",KY1 2HE,56.126965,-3.152714,1,2025-04-14,6
ALS,"ALS · CD Body Repairs, Cavendish Way · KY6 2SB",CD Body Repairs,Cavendish Way,KY6 2SB,56.176808,-3.200502,1,2025-03-18,7
ALS,ALS · 307-321 Westmuir Street · G31 5HP,307-321 Westmuir Street,,G31 5HP,55.852548,-4.188175,1,2024-10-14,8
ALS,ALS · 4 Dunnswood Road · G67 3EN,4 Dunnswood Road,,G67 3EN,55.969741,-3.956825,1,2024-10-14,9
AMS,"AMS · Swade Storage, Higginshaw Lane · OL2 6HW",Swade Storage,Higginshaw Lane,OL2 6HW,53.559879,-2.103747,21,2026-06-12,1
AMS,AMS · Britannia Street · OL1 3QR,Britannia Street,,OL1 3QR,53.544529,-2.101567,9,2026-06-17,2
AMS,AMS · Higginshaw Lane · OL1 3LA,Higginshaw Lane,,OL1 3LA,,,8,2026-05-05,3
AMS,AMS · Higginshaw Lane · OL2 6HW,Higginshaw Lane,,OL2 6HW,53.559879,-2.103747,8,2025-09-23,4
AMS,AMS · Plot B1 · OL1 3LA,Plot B1,,OL1 3LA,,,4,2026-06-11,5
AMS,"AMS · Swade Soloutions Ltd, Plot B1 · OL1 3LA",Swade Soloutions Ltd,Plot B1,OL1 3LA,,,4,2026-06-09,6
AMS,AMS · Reevy Avenue · BD6 3RR,Reevy Avenue,,BD6 3RR,53.762570,-1.792105,2,2025-10-01,7
AMS,AMS · Kestrel Avenue · OL4 5HQ,Kestrel Avenue,,OL4 5HQ,53.536676,-2.086022,1,2026-04-17,8
AMS,AMS · 23 Thursby Street · BD3 9DY,23 Thursby Street,,BD3 9DY,53.794965,-1.733955,1,2026-04-13,9
AMS,AMS · 41 Northfield Road · EN8 7RG,41 Northfield Road,,EN8 7RG,51.692807,-0.032041,1,2026-04-07,10
AMS,AMS · Green Street · WA5 1TW,Green Street,,WA5 1TW,53.389092,-2.608511,1,2026-03-10,11
AMS,AMS · Dean Street · OL6 7EX,Dean Street,,OL6 7EX,53.488222,-2.105924,1,2026-03-03,12
AMS,AMS · Briarhayes Close · IP2 9AZ,Briarhayes Close,,IP2 9AZ,52.045235,1.145144,1,2026-02-13,13
AMS,"AMS · Plot 1B, Higginshaw Lane · OL1 3LA","Plot 1B, Higginshaw Lane",,OL1 3LA,,,1,2026-02-13,14
AMS,"AMS · Plot B1, Higginshaw Lane · OL1 3LA","Plot B1, Higginshaw Lane",,OL1 3LA,,,1,2026-02-12,15
AMS,AMS · Brompton Street Garage · OL4 5JB,Brompton Street Garage,,OL4 5JB,53.536221,-2.081737,1,2025-11-27,16
AMS,AMS · 623 Church Road · B33 8HA,623 Church Road,,B33 8HA,52.480759,-1.798845,1,2025-11-26,17
AMS,AMS · 142 Albert Road · WR11 4LB,142 Albert Road,,WR11 4LB,52.094076,-1.953061,1,2025-11-11,18
AMS,AMS · Horsedge Street · OL1 3DP,Horsedge Street,,OL1 3DP,53.547036,-2.112092,1,2025-10-25,19
AMS,AMS · Market Place · DY4 7AR,Market Place,,DY4 7AR,52.530675,-2.035270,1,2025-10-23,20
AMS,AMS · Redlands Road · EN3 5HW,Redlands Road,,EN3 5HW,51.664313,-0.033348,1,2025-10-22,21
AMS,AMS · Wyrley Way · B23 7UW,Wyrley Way,,B23 7UW,52.531031,-1.877186,1,2025-10-20,22
AMS,AMS · Thurland Road · OL4 1PR,Thurland Road,,OL4 1PR,53.538291,-2.089858,1,2025-10-16,23
AMS,"AMS · Swade Storage, Higginshaw Lane",Swade Storage,Higginshaw Lane,,,,1,2025-10-13,24
AMS,AMS · Catherine Street · LE4 6GB,Catherine Street,,LE4 6GB,52.649771,-1.111791,1,2025-09-18,25
AMS,AMS · Chalgrove Road · N17 0NP,Chalgrove Road,,N17 0NP,51.600009,-0.057759,1,2025-09-11,26
AMS,AMS · The Coach House,The Coach House,,,,,1,2025-09-09,27
AMS,AMS · Battlefields Lane South · PE12 7PG,Battlefields Lane South,,PE12 7PG,52.808770,0.028131,1,2025-09-04,28
AMS,"AMS · Swade Soloutions Ltd, Plot B1",Swade Soloutions Ltd,Plot B1,,,,1,2025-07-24,29
AMS,AMS · 127 Keswick Avenue · OL8 2LN,127 Keswick Avenue,,OL8 2LN,53.524621,-2.100373,1,2025-07-09,30
AMS,AMS · 34 Laxton Close · LU2 8SJ,34 Laxton Close,,LU2 8SJ,51.888047,-0.366646,1,2025-07-09,31
AMS,"AMS · Swade Storage, Higginshaw Lane · OL1 3LA",Swade Storage,Higginshaw Lane,OL1 3LA,,,1,2025-06-30,32
AMS,AMS · Ashley Mews · OL9 6QD,Ashley Mews,,OL9 6QD,53.545913,-2.129519,1,2025-06-17,33
AMS,AMS · Saxthorpe Road · LE5 1PT,Saxthorpe Road,,LE5 1PT,52.655393,-1.072338,1,2025-06-10,34
AMS,AMS · West Acres · WF11 9DU,West Acres,,WF11 9DU,53.723313,-1.259979,1,2025-06-10,35
ARIANA,"ARIANA · Q&A Motoring, 176-178 Mansell Road · UB6 9EH",Q&A Motoring,176-178 Mansell Road,UB6 9EH,51.527790,-0.357327,1,2024-08-16,1
ARIANA,"ARIANA · Ariana Autos, 192 Haymill Close · UB6 8EL",Ariana Autos,192 Haymill Close,UB6 8EL,51.533041,-0.334992,1,2024-06-10,2
ARSHEAD,ARSHEAD · 55 Nottingham Drive · OL6 8UF,55 Nottingham Drive,,OL6 8UF,53.507432,-2.093156,1,2025-02-17,1
ARSHED,ARSHED · Farmwell Lane · NG17 1BX,Farmwell Lane,,NG17 1BX,53.108729,-1.299139,1,2025-02-25,1
ARSHED,ARSHED · Garrick Street · L7 4LF,Garrick Street,,L7 4LF,53.397336,-2.941974,1,2025-02-21,2
ARSHED,ARSHED · Eccleston Avenue · M14 7AH,Eccleston Avenue,,M14 7AH,53.445586,-2.234380,1,2024-08-06,3
ARSHED,ARSHED · 3 Shirebrooke Close · NG6 0JZ,3 Shirebrooke Close,,NG6 0JZ,52.983846,-1.189432,1,2024-07-12,4
ARSHED,ARSHED · Goodiers Drive · M5 3AH,Goodiers Drive,,M5 3AH,53.476882,-2.281215,1,2024-06-26,5
AS,"AS · Premier Car Care Ltd, Unit C 301 Porters Way · B9 5RR",Premier Car Care Ltd,Unit C 301 Porters Way,B9 5RR,52.477713,-1.848198,1,2024-09-18,1
ASLS,ASLS · 29 Fairway Road · OL4 5QE,29 Fairway Road,,OL4 5QE,53.528802,-2.073229,1,2025-07-17,1
AVI,AVI · Wolverhampton Road · B68 0LH,Wolverhampton Road,,B68 0LH,52.466761,-1.984553,1,2025-03-14,1
AX,"AX · RTA Storage & Recovery, 365 Aikenhead Rd · G42 0GG",RTA Storage & Recovery,365 Aikenhead Rd,G42 0GG,,,1,2025-06-19,1
AX,"AX · I.Mac Body Repair Unit 1, Old Manse Road · G32 0TA",I.Mac Body Repair Unit 1,Old Manse Road,G32 0TA,55.850026,-4.145154,1,2025-04-15,2
AX,"AX · Ross Co Smart Repairs, Arran Road · PH1 3DZ",Ross Co Smart Repairs,Arran Road,PH1 3DZ,56.416975,-3.457932,1,2025-04-15,3
AX,"AX · G A Mann, 10-16 Glenfarg Street · G20 7QF",G A Mann,10-16 Glenfarg Street,G20 7QF,55.872728,-4.266855,1,2024-10-13,4
BC,BC · 7 Cobcroft Road · HD2 2RU,7 Cobcroft Road,,HD2 2RU,53.659977,-1.785435,3,2026-02-04,1
BC,BC · The Ringway Centre · HD1 5DG,The Ringway Centre,,HD1 5DG,53.654663,-1.784373,3,2025-05-09,2
BC,BC · Moorfield Road · WV2 4QT,Moorfield Road,,WV2 4QT,52.571706,-2.134219,2,2024-10-15,3
BC,"BC · Euro Auto Solutions Ltd, Moorfield Road · WV2 4QT",Euro Auto Solutions Ltd,Moorfield Road,WV2 4QT,52.571706,-2.134219,2,2024-10-09,4
BC,BC · 173A Dickenson Road · M13 0YN,173A Dickenson Road,,M13 0YN,53.454250,-2.210875,1,2026-06-10,5
BC,BC · 16 Odo Street · SA1 2LT,16 Odo Street,,SA1 2LT,51.634303,-3.941016,1,2026-06-05,6
BC,BC · 109 Burlington Street · OL6 7HJ,109 Burlington Street,,OL6 7HJ,53.487468,-2.104551,1,2026-06-02,7
BC,BC · 44 Moorfield Road · WV2 4QT,44 Moorfield Road,,WV2 4QT,52.571706,-2.134219,1,2026-05-29,8
BC,BC · 12 Honoria Street · HD1 6EL,12 Honoria Street,,HD1 6EL,53.659432,-1.782291,1,2026-05-20,9
BC,"BC · Flat 6, Creative Lopts, 15 Northumberland Stree · HD1 1RL","Flat 6, Creative Lopts",15 Northumberland Stree,HD1 1RL,53.649299,-1.780467,1,2026-05-20,10
BC,BC · Abbey Road · HD2 1BB,Abbey Road,,HD2 1BB,53.661524,-1.775985,1,2026-05-07,11
BC,BC · Arnold Street · HD2 2TA,Arnold Street,,HD2 2TA,53.658738,-1.791161,1,2026-05-01,12
BC,BC · Whitacre Street · HD2 1LY,Whitacre Street,,HD2 1LY,53.668493,-1.750445,1,2026-04-28,13
BC,BC · Minerva Street · HD4 5UH,Minerva Street,,HD4 5UH,53.634575,-1.836271,1,2026-04-22,14
BC,BC · Arnold Street,Arnold Street,,,,,1,2026-04-20,15
BC,BC · Springroyd Terrace · BD8 0BH,Springroyd Terrace,,BD8 0BH,53.801366,-1.794692,1,2026-03-24,16
BC,BC · Rawthorpe Lane · HD5 9NT,Rawthorpe Lane,,HD5 9NT,53.652055,-1.759983,1,2026-03-19,17
BC,"BC · Victoria Works, Waterside, Water Lane · HX3 9HG",Victoria Works,"Waterside, Water Lane",HX3 9HG,53.717353,-1.854483,1,2026-03-13,18
BC,BC · 19 Hops Drive · HD1 5AD,19 Hops Drive,,HD1 5AD,53.657104,-1.792350,1,2026-02-06,19
